scenario,method,source,accuracy_percent,note
Class-CL,None,Paper Table 2,19.89,
Class-CL,None,GMvandeVen code run,19.818456883499998,
Class-CL,None,Our from-scratch code,19.64,
Class-CL,EWC,Paper Table 2,20.64,
Class-CL,EWC,GMvandeVen code run,27.417379224100003,
Class-CL,EWC,Our from-scratch code,19.68,
Class-CL,LwF,Paper Table 2,21.89,
Class-CL,LwF,GMvandeVen code run,20.2669753817,
Class-CL,LwF,Our from-scratch code,26.76,
Class-CL,A-GEM,Paper Table 2,65.1,
Class-CL,A-GEM,GMvandeVen code run,55.8040196118,
Class-CL,A-GEM,Our from-scratch code,55.559999999999995,
Class-CL,Generative Classifier,Paper Table 2,93.82,
Class-CL,Generative Classifier,Our from-scratch code,72.66,
Class-CL,Joint,Paper Table 2,98.17,
Class-CL,Joint,GMvandeVen code run,98.1539333732,
Class-CL,Joint,Our from-scratch code,98.08,
Domain-CL,None,Paper Table 2,60.13,
Domain-CL,None,GMvandeVen code run,54.3520629591,
Domain-CL,None,Our from-scratch code,56.720000000000006,
Domain-CL,EWC,Paper Table 2,63.03,
Domain-CL,EWC,GMvandeVen code run,64.6448070349,
Domain-CL,EWC,Our from-scratch code,57.8,
Domain-CL,LwF,Paper Table 2,71.18,
Domain-CL,LwF,GMvandeVen code run,78.6349797226,
Domain-CL,LwF,Our from-scratch code,77.53,
Domain-CL,A-GEM,Paper Table 2,87.67,
Domain-CL,A-GEM,GMvandeVen code run,88.1927615399,
Domain-CL,A-GEM,Our from-scratch code,90.01,
Domain-CL,Generative Classifier,Our from-scratch code,78.60000000000001,
Domain-CL,Joint,Paper Table 2,98.59,
Domain-CL,Joint,GMvandeVen code run,98.7887982492,
Domain-CL,Joint,Our from-scratch code,98.97,
Task-CL,None,Paper Table 2,84.32,
Task-CL,None,GMvandeVen code run,87.6479771225,
Task-CL,None,Our from-scratch code,67.14,
Task-CL,EWC,Paper Table 2,99.06,
Task-CL,EWC,GMvandeVen code run,99.5187875597,
Task-CL,EWC,Our from-scratch code,64.75,
Task-CL,LwF,Paper Table 2,99.6,
Task-CL,LwF,GMvandeVen code run,99.78074807750001,
Task-CL,LwF,Our from-scratch code,99.16,
Task-CL,A-GEM,Paper Table 2,98.54,
Task-CL,A-GEM,GMvandeVen code run,99.0363317602,
Task-CL,A-GEM,Our from-scratch code,97.61,
Task-CL,Generative Classifier,Our from-scratch code,94.91000000000001,
Task-CL,Separate Networks,Paper Table 2,99.57,
Task-CL,Separate Networks,GMvandeVen code run,99.7387109645,
Task-CL,Separate Networks,Our from-scratch code,99.81,
Task-CL,Joint,Paper Table 2,99.67,
Task-CL,Joint,GMvandeVen code run,99.8094072273,
Task-CL,Joint,Our from-scratch code,99.78,
